name,position,projected_points,uncertainty,player_id,code,team_name,status,prior_total_points,prior_minutes,fixture_difficulty_next6,projection_method
Cathal McCarthy,DEF,61.338,24.535,284,661800,Hull City,a,,,3.167,position prior for new player
Ryan Giles,DEF,61.338,24.535,282,232351,Hull City,a,,,3.167,position prior for new player
Lewie Coyle,DEF,61.338,24.535,280,193278,Hull City,a,,,3.167,position prior for new player
Aurèle Amenda,DEF,61.338,24.535,182,539142,Coventry City,a,,,3.167,position prior for new player
Ilia Gruev,MID,60.991,9.149,344,486520,Leeds,a,56.000,1318.000,3.167,prior-season points with positional shrinkage
Sean Longstaff,MID,60.991,9.149,339,180135,Leeds,a,56.000,1003.000,3.167,prior-season points with positional shrinkage
Fabian Schär,DEF,60.199,9.030,446,119471,Newcastle,a,51.000,1089.000,2.833,prior-season points with positional shrinkage
Rico Henry,DEF,60.196,9.029,89,194010,Brentford,a,52.000,1322.000,3.167,prior-season points with positional shrinkage
Dwight McNeil,MID,59.393,8.909,241,433154,Everton,a,53.000,1161.000,2.833,prior-season points with positional shrinkage
Tyrone Mings,DEF,59.000,8.850,33,149484,Aston Villa,a,50.000,1322.000,3.000,prior-season points with positional shrinkage
Mitoma Kaoru,MID,58.256,13.399,121,451340,Brighton,i,62.000,1714.000,3.000,prior-season points with positional shrinkage
Axel Disasi,DEF,58.200,8.730,153,220362,Chelsea,a,49.000,1254.000,3.000,prior-season points with positional shrinkage
Liam Delap,FWD,58.200,8.730,167,463034,Chelsea,a,45.000,1092.000,3.000,prior-season points with positional shrinkage
Lucas Estella Perri,GK,58.011,8.702,326,201595,Leeds,a,43.000,1440.000,3.167,prior-season points with positional shrinkage
Matty Jacob,DEF,57.658,27.676,283,449428,Hull City,d,,,3.167,position prior for new player
Taiwo Awoniyi,FWD,56.600,14.150,492,210156,Nott'm Forest,a,43.000,480.000,3.000,prior-season points with positional shrinkage
Dan Ndoye,MID,56.600,8.490,483,456512,Nott'm Forest,a,50.000,1167.000,3.000,prior-season points with positional shrinkage
Lisandro Martínez,DEF,56.587,13.015,419,221820,Man Utd,d,51.000,1229.000,2.833,prior-season points with positional shrinkage
Joshua Zirkzee,FWD,56.172,14.043,440,458249,Man Utd,a,42.000,607.000,2.833,prior-season points with positional shrinkage
Lucas Bergvall,MID,55.800,8.370,520,570526,Spurs,a,49.000,955.000,3.000,prior-season points with positional shrinkage
Alexander Isak,FWD,55.367,13.842,379,219168,Liverpool,a,41.000,694.000,2.833,prior-season points with positional shrinkage
Anthony Elanga,MID,55.367,8.305,454,449434,Newcastle,a,48.000,1302.000,2.833,prior-season points with positional shrinkage
Kevin Santos Lopes de Macedo,MID,55.056,8.258,263,560552,Fulham,a,49.000,1030.000,3.333,prior-season points with positional shrinkage
Nicolás Domínguez,MID,55.000,8.250,487,250199,Nott'm Forest,a,48.000,1168.000,3.000,prior-season points with positional shrinkage
Chris Wood,FWD,55.000,13.750,490,60689,Nott'm Forest,a,41.000,896.000,3.000,prior-season points with positional shrinkage
Benjamin White,DEF,55.000,13.750,10,198869,Arsenal,a,45.000,699.000,3.000,prior-season points with positional shrinkage
Andrey Nascimento dos Santos,MID,54.561,8.184,162,532605,Man Utd,a,47.000,1247.000,2.833,prior-season points with positional shrinkage
Bafodé Diakité,DEF,54.312,8.147,62,242882,Bournemouth,a,46.000,1275.000,3.667,prior-season points with positional shrinkage
Victor Munoz,MID,54.310,21.724,377,551499,Liverpool,a,,,2.833,position prior for new player
Bazoumana Touré,MID,54.310,21.724,461,611665,Newcastle,a,,,2.833,position prior for new player
Sean Steur,MID,54.310,21.724,462,636852,Newcastle,a,,,2.833,position prior for new player
Aladji Bamba,MID,54.310,21.724,559,632794,Newcastle,a,,,2.833,position prior for new player
Lewis Koumas,MID,54.310,21.724,381,514514,Liverpool,a,,,2.833,position prior for new player
Hayden Hackney,MID,54.310,21.724,247,244860,Everton,a,,,2.833,position prior for new player
Dominic Solanke-Mitchell,FWD,54.200,8.130,526,154566,Spurs,a,40.000,997.000,3.000,prior-season points with positional shrinkage
Charlie Hughes,DEF,53.978,25.909,278,501902,Hull City,i,,,3.167,position prior for new player
Zadok Yohanna,MID,53.950,21.580,135,700308,Brighton,a,,,3.000,position prior for new player
Xaver Schlager,MID,53.950,21.580,558,204561,Nott'm Forest,a,,,3.000,position prior for new player
Jeremy Monga,MID,53.950,21.580,410,649208,Man City,a,,,3.000,position prior for new player
Johan Manzambi,MID,53.950,21.580,53,614071,Aston Villa,a,,,3.000,position prior for new player
Daizen Maeda,MID,53.950,21.580,562,442967,Ipswich Town,a,,,3.000,position prior for new player
Anis Mehmeti,MID,53.950,21.580,324,232457,Ipswich Town,a,,,3.000,position prior for new player
Kasey McAteer,MID,53.950,21.580,323,461587,Ipswich Town,a,,,3.000,position prior for new player
Sam Szmodics,MID,53.950,21.580,319,172453,Ipswich Town,a,,,3.000,position prior for new player
Jack Clarke,MID,53.950,21.580,313,443261,Ipswich Town,a,,,3.000,position prior for new player
Chiedozie Ogbene,MID,53.950,21.580,314,229164,Ipswich Town,a,,,3.000,position prior for new player
Abdul Fatawu,MID,53.950,21.580,315,531442,Ipswich Town,a,,,3.000,position prior for new player
Wes Burns,MID,53.950,21.580,311,149929,Ipswich Town,a,,,3.000,position prior for new player
Marcelino Núñez,MID,53.950,21.580,309,501390,Ipswich Town,a,,,3.000,position prior for new player
Jaden Philogene,MID,53.950,21.580,318,481624,Ipswich Town,a,,,3.000,position prior for new player
Christos Tzolis,MID,53.950,21.580,557,439509,Arsenal,a,,,3.000,position prior for new player
Mohamed Belloumi,MID,53.590,21.436,286,540324,Hull City,a,,,3.167,position prior for new player
Hidemasa Morita,MID,53.590,21.436,563,445028,Hull City,a,,,3.167,position prior for new player
Óscar Zambrano,MID,53.590,21.436,294,553783,Hull City,a,,,3.167,position prior for new player
David Akintola,MID,53.590,21.436,296,213292,Hull City,a,,,3.167,position prior for new player
Abdülkadir Ömür,MID,53.590,21.436,292,208481,Hull City,a,,,3.167,position prior for new player
Abu Kamara,MID,53.590,21.436,293,490161,Hull City,a,,,3.167,position prior for new player
Regan Slater,MID,53.590,21.436,290,243413,Hull City,a,,,3.167,position prior for new player
Matt Crooks,MID,53.590,21.436,289,101282,Hull City,a,,,3.167,position prior for new player
Kieran Dowell,MID,53.590,21.436,288,171270,Hull City,a,,,3.167,position prior for new player
Liam Millar,MID,53.590,21.436,287,232905,Hull City,a,,,3.167,position prior for new player
Tatsuhiro Sakamoto,MID,53.590,21.436,185,501459,Coventry City,a,,,3.167,position prior for new player
Victor Torp,MID,53.590,21.436,188,226965,Coventry City,a,,,3.167,position prior for new player
